Title,Rank,Mean Score,Genres,Number of Episodes,Media Type,Studios,Start Date
Fullmetal Alchemist: Brotherhood,1,9.1,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 38, 'name': 'Military'}, {'id': 27, 'name': 'Shounen'}]",64,tv,"[{'id': 4, 'name': 'Bones'}]",2009-04-05
Steins;Gate,2,9.07,"[{'id': 8, 'name': 'Drama'}, {'id': 40, 'name': 'Psychological'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 41, 'name': 'Suspense'}, {'id': 78, 'name': 'Time Travel'}]",24,tv,"[{'id': 314, 'name': 'White Fox'}]",2011-04-06
Gintama°,3,9.06,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",51,tv,"[{'id': 1258, 'name': 'Bandai Namco Pictures'}]",2015-04-08
Shingeki no Kyojin Season 3 Part 2,4,9.05,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 58, 'name': 'Gore'}, {'id': 38, 'name': 'Military'}, {'id': 27, 'name': 'Shounen'}, {'id': 76, 'name': 'Survival'}, {'id': 41, 'name': 'Suspense'}]",10,tv,"[{'id': 858, 'name': 'Wit Studio'}]",2019-04-29
Bleach: Sennen Kessen-hen,5,9.04,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}]",13,tv,"[{'id': 1, 'name': 'Pierrot'}]",2022-10-11
Gintama: The Final,6,9.04,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",1,movie,"[{'id': 1258, 'name': 'Bandai Namco Pictures'}]",2021-01-08
Hunter x Hunter (2011),7,9.04,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}]",148,tv,"[{'id': 11, 'name': 'Madhouse'}]",2011-10-02
Gintama',8,9.03,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",51,tv,"[{'id': 14, 'name': 'Sunrise'}]",2011-04-04
Gintama': Enchousen,9,9.03,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",13,tv,"[{'id': 14, 'name': 'Sunrise'}]",2012-10-04
Kaguya-sama wa Kokurasetai: Ultra Romantic,10,9.03,"[{'id': 4, 'name': 'Comedy'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 42, 'name': 'Seinen'}]",13,tv,"[{'id': 56, 'name': 'A-1 Pictures'}]",2022-04-09
